country;zip;city;zeros
NO;1430;ÅS;0
NO;1431;ÅS;0
NO;1432;ÅS;0
NO;1433;ÅS;0
NO;1434;ÅS;0
NO;1435;ÅS;0
NO;1440;DRØBAK;0
NO;1441;DRØBAK;0
NO;1442;DRØBAK;0
NO;1443;DRØBAK;0
NO;1444;DRØBAK;0
NO;1445;DRØBAK;0
NO;1446;DRØBAK;0
NO;1447;DRØBAK;0
NO;1448;DRØBAK;0
NO;1449;DRØBAK;0
NO;1450;NESODDTANGEN;0
NO;1451;NESODDTANGEN;0
NO;1452;NESODDTANGEN;0
NO;1453;BJØRNEMYR;0
NO;1454;FAGERSTRAND;0
NO;1455;NORDRE FROGN;0
NO;1456;NESODDTANGEN;0
NO;1457;FAGERSTRAND;0
NO;1458;FJELLSTRAND;0
NO;1459;NESODDEN;0
NO;1461;LØRENSKOG;0
NO;1462;FJELLHAMAR;0
NO;1463;FJELLHAMAR;0
NO;1464;FJELLHAMAR;0
NO;1465;STRØMMEN;0
NO;1466;STRØMMEN;0
NO;1467;STRØMMEN;0
NO;1468;FINSTADJORDET;0
NO;1469;RASTA;0
NO;1470;LØRENSKOG;0
NO;1471;LØRENSKOG;0
NO;1472;FJELLHAMAR;0
NO;1473;LØRENSKOG;0
NO;1474;LØRENSKOG;0
NO;1475;FINSTADJORDET;0
NO;1476;RASTA;0
NO;1477;FJELLHAMAR;0
NO;1478;LØRENSKOG;0
NO;1479;KURLAND;0
NO;1480;SLATTUM;0
NO;1481;HAGAN;0
NO;1482;NITTEDAL;0
NO;1483;HAGAN;0
NO;1484;HAKADAL;0
NO;1485;HAKADAL;0
NO;1486;NITTEDAL;0
NO;1487;HAKADAL;0
NO;1488;HAKADAL;0
NO;1501;MOSS;0
NO;1502;MOSS;0
NO;1503;MOSS;0
NO;1504;MOSS;0
NO;1506;MOSS;0
NO;1508;MOSS;0
NO;1509;MOSS;0
NO;1510;MOSS;0
NO;1511;MOSS;0
NO;1512;MOSS;0
NO;1513;MOSS;0
NO;1514;MOSS;0
NO;1515;MOSS;0
NO;1516;MOSS;0
NO;1517;MOSS;0
NO;1518;MOSS;0
NO;1519;MOSS;0
NO;1520;MOSS;0
NO;1521;MOSS;0
NO;1522;MOSS;0
NO;1523;MOSS;0
NO;1524;MOSS;0
NO;1525;MOSS;0
NO;1526;MOSS;0
NO;1528;MOSS;0
NO;1529;MOSS;0
NO;1530;MOSS;0
NO;1531;MOSS;0
NO;1532;MOSS;0
NO;1533;MOSS;0
NO;1534;MOSS;0
NO;1535;MOSS;0
NO;1536;MOSS;0
NO;1537;MOSS;0
NO;1538;MOSS;0
NO;1539;MOSS;0
NO;1540;VESTBY;0
NO;1541;VESTBY;0
NO;1542;VESTBY;0
NO;1543;VESTBY;0
NO;1544;VESTBY;0
NO;1545;HVITSTEN;0
NO;1550;HØLEN;0
NO;1555;SON;0
NO;1556;SON;0
NO;1560;LARKOLLEN;0
NO;1561;LARKOLLEN;0
NO;1570;DILLING;0
NO;1580;RYGGE;0
NO;1581;RYGGE;0
NO;1590;RYGGE;0
NO;1591;SPERREBOTN;0
NO;1592;VÅLER I ØSTFOLD;0
NO;1593;SVINNDAL;0
NO;1594;VÅLER I ØSTFOLD;0
NO;1596;MOSS;0
NO;1597;MOSS;0
NO;1598;MOSS;0
NO;1599;MOSS;0
NO;1601;FREDRIKSTAD;0
NO;1602;FREDRIKSTAD;0
NO;1604;FREDRIKSTAD;0
